"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","81482934840","4774106760","1460297","34564","4058092","155046","9084","17.07",""
"2","","League of Legends","59122841100","1114259940","1147825","4981","768957","112499","2120","53.06",""
"3","","PUBG: BATTLEGROUNDS","27249424560","1058021220","579861","6473","855370","51850","2013","25.76",""
"4","","Overwatch","18107483340","677873280","461851","3111","707558","34455","1289","26.71",""
"5","","World of Warcraft","15614097300","543406140","590245","15619","286541","29710","1033","28.73",""
"6","","Counter-Strike","24106519440","521227980","1298358","3173","680351","45869","991","46.25",""
"7","","Rainbow Six Siege","6929861340","463437720","253151","2490","677147","13186","881","14.95",""
"8","","Destiny 2","4211079600","322508760","181929","8097","324038","8012","613","13.06",""
"9","","Dota 2","28344889140","308675820","749471","1473","185617","53934","587","91.83",""
"10","","IRL","20782208160","297429540","264068","1664","500692","39544","565","69.87",""
"11","","Call of Duty: Black Ops 4","8335284180","281224980","586545","13323","572714","15860","535","29.64",""
"12","","Dead by Daylight","5692454940","254263380","146848","1490","239139","10831","483","22.39",""
"13","","Grand Theft Auto V","8833455060","245565480","82575","1572","388547","16808","467","35.97",""
"14","","Minecraft","3038254860","179567940","65539","877","312658","5781","341","16.92",""
"15","","Rocket League","2949345420","160065840","173257","684","333152","5612","304","18.43",""
"16","","Creative","2224967100","152823180","55284","660","140544","4233","290","14.56",""
"17","","Monster Hunter: World","3135335520","141924720","169921","5262","245278","5965","270","22.09",""
"18","","Hearthstone","21456686700","139346400","309090","2277","172671","40827","265","153.98",""
"19","","Music","3373526640","114776820","50673","387","71462","6419","218","29.39",""
"20","","Path of Exile","4143240300","111829080","115737","3008","72945","7883","212","37.05",""
"21","","Red Dead Redemption II","2284465020","110571180","382860","8785","203355","4346","210","20.66",""
"22","","Warframe","2634326520","107232420","402554","756","135015","5012","204","24.57",""
"23","","Escape from Tarkov","2814093060","106930800","58348","692","59356","5354","203","26.32",""
"24","","Just Chatting","8478230820","101970780","227149","1847","198250","16132","194","83.14",""
"25","","Heroes of the Storm","3987519720","97374420","74026","341","83775","7587","185","40.95",""
"26","","Sea of Thieves","3163395720","95442240","261898","4908","132995","6019","181","33.14",""
"27","","ARK: Survival Evolved","1584809460","93268980","45885","765","93689","3015","177","16.99",""
"28","","Black Desert","2134883100","90164400","19518","392","55409","4062","171","23.68",""
"29","","World of Tanks","2192850780","86337960","62930","436","59901","4172","164","25.4",""
"30","","FIFA 18","2568628500","83343960","143683","1216","179312","4887","158","30.82",""
"31","","osu!","598679400","82418700","24897","333","119469","1139","156","7.26",""
"32","","SMITE","1460042640","80815560","94811","546","84137","2778","153","18.07",""
"33","","Call of Duty: Black Ops III","384056880","77770140","22838","542","241925","730","147","4.94",""
"34","","FINAL FANTASY XIV ONLINE","783761880","77722020","88767","801","41970","1491","147","10.08",""
"35","","God of War","1613680860","70211460","292083","5006","128891","3070","133","22.98",""
"36","","FIFA 19","3754793940","67330620","167405","2400","135361","7144","128","55.77",""
"37","","Rust","1570108800","65883480","44150","412","74274","2987","125","23.83",""
"38","","NBA 2K18","715476120","65004540","61960","1591","103808","1361","123","11.01",""
"39","","DARK SOULS III","1041996720","61658460","202405","302","113621","1982","117","16.9",""
"40","","NBA 2K19","865884900","61406820","47830","2267","93690","1647","116","14.1",""
"41","","Diablo III","897891840","59721300","21395","1347","83522","1708","113","15.03",""
"42","","Call of Duty: WWII","1460401200","57987540","148960","547","265061","2778","110","25.18",""
"43","","RuneScape","2146878660","57783300","74563","281","45635","4085","109","37.15",""
"44","","Tom Clancy's The Division","427056420","56855340","27767","449","71904","812","108","7.51",""
"45","","Paladins","504894900","56241240","43978","247","131811","960","107","8.98",""
"46","","Fallout 4","432939660","52021260","20372","290","95577","823","98","8.32",""
"47","","Battlefield 1","320460420","51840180","234047","316","131774","609","98","6.18",""
"48","","Realm Royale Reforged","1542831840","50516400","195317","2408","121540","2935","96","30.54",""
"49","","StarCraft II","3700249140","48987780","148897","193","40862","7040","93","75.53",""
"50","","The Elder Scrolls V: Skyrim","580487340","48542040","195899","205","88317","1104","92","11.96",""
