"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","1828521180","185286000","261540","8433","559461","42326","4289","9.87",""
"2","","Just Chatting","13114452000","185190720","1049424","6736","410137","303575","4286","70.82",""
"3","","VALORANT","2585954340","120502920","278552","4303","220596","59860","2789","21.46",""
"4","","Grand Theft Auto V","3838061220","110506080","216955","4701","180750","88844","2558","34.73",""
"5","","Minecraft","1679123340","100931880","176865","4576","301716","38868","2336","16.64",""
"6","","Apex Legends","1063338480","82524840","180220","3144","152386","24614","1910","12.89",""
"7","","League of Legends","4250406180","80430540","707016","3037","109064","98389","1861","52.85",""
"8","","ARC Raiders","1057872900","76841760","95055","3919","123133","24487","1778","13.77",""
"9","","Dead by Daylight","1106545260","76301520","58744","3556","115590","25614","1766","14.5",""
"10","","ROBLOX","300562620","73132620","67015","5114","352583","6957","1692","4.11",""
"11","","Call of Duty","113005620","69804120","12240","3215","168285","2615","1615","1.62",""
"12","","Crimson Desert","1825551840","69761880","498651","9089","83215","42258","1614","26.17",""
"13","","Counter-Strike","4181655180","69337680","487077","3314","144097","96797","1605","60.31",""
"14","","Call of Duty: Warzone","868328040","68515800","83180","3027","129515","20100","1586","12.67",""
"15","","Marvel Rivals","935421120","64689660","203374","4355","124123","21653","1497","14.46",""
"16","","Overwatch","2140497960","64200120","171928","3052","130790","49548","1486","33.34",""
"17","","World of Warcraft","2420406840","57843060","319074","3802","48354","56027","1338","41.84",""
"18","","Rainbow Six Siege","633723960","51256980","139106","2593","181185","14669","1186","12.36",""
"19","","NBA 2K26","230387700","48819600","23827","2686","138589","5333","1130","4.72",""
"20","","Rocket League","601284900","41737200","158900","1867","210243","13918","966","14.41",""
"21","","Dota 2","1782254280","35484240","213150","1721","43422","41255","821","50.23",""
"22","","Games + Demos","211979280","32267760","76663","1361","131050","4906","746","6.57",""
"23","","EA Sports FC 26","507459240","30035400","115792","1972","99302","11746","695","16.9",""
"24","","Call of Duty: Black Ops 7","385275360","25159440","94527","1322","42979","8918","582","15.31",""
"25","","Art","384152520","25029600","15396","927","39420","8892","579","15.35",""
"26","","Music","338403540","24510900","63382","913","31723","7833","567","13.81",""
"27","","PUBG: BATTLEGROUNDS","455375220","22764000","37940","1108","37224","10541","526","20",""
"28","","RESIDENT EVIL: requiem","464879100","21496200","40588","1558","54543","10761","497","21.63",""
"29","","IRL","1747637580","19862820","182847","671","45196","40454","459","87.99",""
"30","","Madden NFL 26","71857620","19511100","8066","1375","64877","1663","451","3.68",""
"31","","Deadlock","449826360","16951920","52089","620","24943","10412","392","26.54",""
"32","","ELDEN RING","284347260","15902640","30712","688","32970","6582","368","17.88",""
"33","","Marathon","320459400","15826920","69065","1236","22507","7418","366","20.25",""
"34","","Battlefield 6","118950300","14781360","52743","691","43904","2753","342","8.05",""
"35","","Escape from Tarkov","287015940","14111940","15395","534","12772","6643","326","20.34",""
"36","","Phasmophobia","123165060","13654800","25150","1009","48945","2851","316","9.02",""
"37","","Warframe","161158560","13543560","47755","835","23343","3730","313","11.9",""
"38","","Always On","501531120","13181220","23905","341","873","11609","305","38.05",""
"39","","Tibia","249587580","13121280","14566","535","6135","5777","303","19.02",""
"40","","Animals, Aquariums, and Zoos","220550100","13115340","11876","362","992","5105","303","16.82",""
"41","","FINAL FANTASY XIV ONLINE","184648380","13066440","22248","719","15234","4274","302","14.13",""
"42","","Rust","1006976580","12355200","124210","798","20317","23309","286","81.5",""
"43","","EA Sports College Football 26","28689840","12311940","3100","1074","42721","664","284","2.33",""
"44","","Red Dead Redemption II","142293120","12029220","26545","594","22975","3293","278","11.83",""
"45","","Slay the Spire II","438236160","11832000","29494","524","23693","10144","273","37.04",""
"46","","Genshin Impact","171520740","11670360","68677","997","24939","3970","270","14.7",""
"47","","DayZ","184852320","10955760","30662","565","18372","4278","253","16.87",""
"48","","Retro","262671180","10711140","22136","375","10981","6080","247","24.52",""
"49","","Pokémon Pokopia","255106620","10554540","23910","626","17367","5905","244","24.17",""
"50","","DJs","390212460","10528800","35307","505","9220","9032","243","37.06",""
