"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
1,"https://static-cdn.jtvnw.net/jtv_user_pictures/bf6a04cf-3f44-4986-8eed-5c36bfad542b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KaiCenat","6404750385","55455","879383","115494","19852125","2844823","Partner","false","English","https://www.twitch.tv/kaicenat"
2,"https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","4172797215","32145","9189762","129811","19848546","2558699","Partner","false","Spanish","https://www.twitch.tv/ibai"
3,"https://static-cdn.jtvnw.net/jtv_user_pictures/90d40495-f467-4911-9035-72d8d10a49c5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Ninja","313446360","72510","31145","4322","19263738","62522","Partner","false","English","https://www.twitch.tv/ninja"
4,"https://static-cdn.jtvnw.net/jtv_user_pictures/f1ea7d5a-ab2c-4e91-bba5-3ce211adfc3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","693763440","34050","185524","20374","17005060","224154","Partner","false","Spanish","https://www.twitch.tv/auronplay"
5,"https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","1727265840","75720","206194","22811","16357025","668215","Partner","false","Spanish","https://www.twitch.tv/rubius"
6,"https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","3005705115","141135","335809","21296","12360906","316533","Partner","false","English","https://www.twitch.tv/xqc"
7,"https://static-cdn.jtvnw.net/jtv_user_pictures/586ffb1a-3d3b-40c6-bda8-16ff9b16b9f9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","EasyLiker","227115","315","5113","721","12316861","373","Community","false","Russian","https://www.twitch.tv/easyliker"
8,"https://static-cdn.jtvnw.net/jtv_user_pictures/bc9e7c87-c85a-45a6-9e45-0eb1e87eb47a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheGrefg","139405590","25380","69342","5492","12288205","101690","Partner","false","Spanish","https://www.twitch.tv/thegrefg"
9,"https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","juansguarnizo","518827590","68415","124186","7583","11650807","137649","Partner","false","Spanish","https://www.twitch.tv/juansguarnizo"
10,"https://static-cdn.jtvnw.net/jtv_user_pictures/f65f290a-d37e-4c33-bc74-de6049eddf55-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Tfue","776033055","60585","329911","12808","11537464","259839","Partner","false","English","https://www.twitch.tv/tfue"
11,"https://static-cdn.jtvnw.net/jtv_user_pictures/c754eebf-745b-4e0a-814a-10bcaecaabbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shroud","1926041670","154215","96765","12489","11310224","192391","Partner","false","English","https://www.twitch.tv/shroud"
12,"https://static-cdn.jtvnw.net/jtv_user_pictures/0107210e-a98c-409d-92a6-1caf70bb3953-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElMariana","543118350","41295","58228","13152","10933630","552468","Partner","false","Spanish","https://www.twitch.tv/elmariana"
13,"https://static-cdn.jtvnw.net/jtv_user_pictures/d4885242-febf-4a11-a42a-a0ad52474ee2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElSpreen","14836155","1035","57799","14334","9695161","31058","Partner","false","Spanish","https://www.twitch.tv/elspreen"
14,"https://static-cdn.jtvnw.net/jtv_user_pictures/645d98a0-a2eb-48a3-b687-cfbc55243e4a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Jynxzi","4747804260","148800","379959","31907","9556983","2365814","Partner","false","English","https://www.twitch.tv/jynxzi"
15,"https://static-cdn.jtvnw.net/jtv_user_pictures/912232e8-9e53-4fb7-aac4-14aed07869ca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","pokimane","107873310","15195","40866","7099","9362673","-11409","Partner","false","English","https://www.twitch.tv/pokimane"
16,"https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","sodapoppin","785267130","75465","25184","10405","8965025","5024","Partner","true","English","https://www.twitch.tv/sodapoppin"
17,"https://static-cdn.jtvnw.net/jtv_user_pictures/f700cd74-e74c-42a4-ba5b-18efb486eb92-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Clix","744950850","92250","79557","8075","8541697","340548","Partner","false","English","https://www.twitch.tv/clix"
18,"https://static-cdn.jtvnw.net/jtv_user_pictures/ef28ba12-c8ed-46d4-838b-a4c95ef5b469-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","caseoh_","3581058825","71460","298512","50112","8395001","1445472","Partner","false","English","https://www.twitch.tv/caseoh_"
19,"https://static-cdn.jtvnw.net/jtv_user_pictures/64d44235-1dee-4bca-95da-bee1ee96eea3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","alanzoka","1241099490","101865","69851","12183","7995384","369174","Partner","false","Portuguese","https://www.twitch.tv/alanzoka"
20,"https://static-cdn.jtvnw.net/jtv_user_pictures/7dcd89d5-6700-4b05-b9c9-c7dac61c32db-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TimTheTatman","837016755","94710","206202","8837","7619554","381464","Partner","true","English","https://www.twitch.tv/timthetatman"
21,"https://static-cdn.jtvnw.net/jtv_user_pictures/35b02a12-d516-499e-90f8-7899f136fa18-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","riotgames","553195905","14805","232785","37365","7358758","55807","Partner","false","English","https://www.twitch.tv/riotgames"
22,"https://static-cdn.jtvnw.net/jtv_user_pictures/4334880b-4016-4106-bcb9-5626b0ec8d0b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Myth","101860260","109665","10706","928","7278262","-5825","Partner","false","English","https://www.twitch.tv/myth"
23,"https://static-cdn.jtvnw.net/jtv_user_pictures/48cb9093-a729-418e-ae3a-347c2b814ee6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tommyinnit","9055620","3315","9216","2731","7253025","-26654","Partner","false","English","https://www.twitch.tv/tommyinnit"
24,"https://static-cdn.jtvnw.net/jtv_user_pictures/75260307-584a-4eb7-99ba-d2708d27795e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SypherPK","67426500","33090","15169","2037","7228363","20399","Partner","false","English","https://www.twitch.tv/sypherpk"
25,"https://static-cdn.jtvnw.net/jtv_user_pictures/d378b8b2-d06f-46df-a4e5-15e46c60e0b5-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","Mongraal","178699575","75450","16765","2368","7196965","49698","Partner","false","English","https://www.twitch.tv/mongraal"
26,"https://static-cdn.jtvnw.net/jtv_user_pictures/5620fe1e-c3c6-4489-9fe2-6b48a0fb09e4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AriGameplays","48509640","21585","81635","2247","7134149","94384","Partner","false","Spanish","https://www.twitch.tv/arigameplays"
27,"https://static-cdn.jtvnw.net/jtv_user_pictures/3f038015-59f4-44f3-8a82-7437d3afd068-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loud_coringa","1274759985","73470","139906","17350","7092154","602369","Partner","false","Portuguese","https://www.twitch.tv/loud_coringa"
28,"https://static-cdn.jtvnw.net/jtv_user_pictures/10c197cb-295f-4d40-8a6c-26a0a5da22ee-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AdinRoss","10740480","555","38308","19352","7033346","13996","Partner","false","English","https://www.twitch.tv/adinross"
29,"https://static-cdn.jtvnw.net/jtv_user_pictures/10e9e873-20c9-435f-9894-7689ff5d2b1a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","rivers_gg","266532045","46035","252704","5789","6847564","242034","Partner","false","Spanish","https://www.twitch.tv/rivers_gg"
30,"https://static-cdn.jtvnw.net/jtv_user_pictures/b04e20be-6c0b-4379-b163-7f9a928e03f0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NICKMERCS","615946635","96465","31044","6385","6765558","91986","Partner","false","English","https://www.twitch.tv/nickmercs"
31,"https://static-cdn.jtvnw.net/jtv_user_pictures/c1ecbcd5-b8b6-4e0c-9d5f-e01d610aa97d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ESLCS","1573123605","477630","198900","3293","6678582","196194","Partner","false","English","https://www.twitch.tv/eslcs"
32,"https://static-cdn.jtvnw.net/jtv_user_pictures/4c2864d1-2739-4e10-ac60-7f74f30feef4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Quackity","63830325","4515","45975","14137","6568646","125568","Partner","false","English","https://www.twitch.tv/quackity"
33,"https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","2414081940","262020","29935","9213","6391184","71991","Partner","false","English","https://www.twitch.tv/summit1g"
34,"https://static-cdn.jtvnw.net/jtv_user_pictures/80542f40-4016-499d-9965-19197a5a0006-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Fortnite","141079965","11130","99863","12675","6314096","197247","Partner","false","English","https://www.twitch.tv/fortnite"
35,"https://static-cdn.jtvnw.net/jtv_user_pictures/6baf52ec-256b-423d-a89d-0f221a5172b9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","quiriify","975","450","9","2","6276850","4947780","Community","false","German","https://www.twitch.tv/quiriify"
36,"https://static-cdn.jtvnw.net/jtv_user_pictures/7f349bf3-ada7-4486-a0f1-a6e055b68fca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AMOURANTH","86099760","94455","6158","911","6079792","-130069","Partner","false","English","https://www.twitch.tv/amouranth"
37,"https://static-cdn.jtvnw.net/jtv_user_pictures/3aaeb687-ce59-4c18-b701-69a231ef06e9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Dream","17678625","9255","16877","1910","6071992","-58408","Partner","false","English","https://www.twitch.tv/dream"
38,"https://static-cdn.jtvnw.net/jtv_user_pictures/b64f8a6d-64b9-4b36-b0ba-e2c9ba103574-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Robleis","176925","180","2872","982","5900036","1161","Partner","false","Spanish","https://www.twitch.tv/robleis"
39,"https://static-cdn.jtvnw.net/jtv_user_pictures/1939615e-a34d-4fab-a035-8c3d8ffae278-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Squeezie","1136746920","20850","1366992","54520","5842097","526521","Partner","false","French","https://www.twitch.tv/squeezie"
40,"https://static-cdn.jtvnw.net/jtv_user_pictures/c3a2d34f-a063-45f1-b857-c33788527c83-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NickEh30","133199370","82110","20314","1622","5794058","88929","Partner","false","English","https://www.twitch.tv/nickeh30"
41,"https://static-cdn.jtvnw.net/jtv_user_pictures/df6f775d-8794-4cbe-aa85-dbdc72975696-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","moistcr1tikal","241932465","70215","199990","3445","5789932","150898","Partner","false","English","https://www.twitch.tv/moistcr1tikal"
42,"https://static-cdn.jtvnw.net/jtv_user_pictures/6f36c08a-6f7d-40f1-a9e8-12eee2ff0f93-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MontanaBlack88","1193570655","54630","319453","21848","5758127","194107","Partner","true","German","https://www.twitch.tv/montanablack88"
43,"https://static-cdn.jtvnw.net/jtv_user_pictures/770ffd55-c47a-4625-9158-595af4987a22-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","elded","244508775","102975","38601","2374","5688165","15465","Partner","false","Spanish","https://www.twitch.tv/elded"
44,"https://static-cdn.jtvnw.net/jtv_user_pictures/f7d41bcc-5e5c-48b1-a2fd-a963c45b66a1-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","Bugha","16794105","12660","3968","1326","5496664","-9338","Partner","false","English","https://www.twitch.tv/bugha"
45,"https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loltyler1","718484655","90825","37752","7910","5464420","18917","Partner","false","English","https://www.twitch.tv/loltyler1"
46,"https://static-cdn.jtvnw.net/jtv_user_pictures/905af69a-4fd8-42c7-b842-bf4ee4d51b3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Tubbo","124500510","76125","12250","1635","5227413","-20031","Partner","false","English","https://www.twitch.tv/tubbo"
