"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/bf6a04cf-3f44-4986-8eed-5c36bfad542b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KaiCenat","6404750385","55455","879383","115494","19852125","2844823","Partner","false","English","https://www.twitch.tv/kaicenat"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Caedrel","5927297010","133455","422291","44414","1544125","317155","Partner","false","English","https://www.twitch.tv/caedrel"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","zackrawrr","4998400965","117750","208048","42449","2352748","292072","Partner","false","English","https://www.twitch.tv/zackrawrr"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/645d98a0-a2eb-48a3-b687-cfbc55243e4a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Jynxzi","4747804260","148800","379959","31907","9556983","2365814","Partner","false","English","https://www.twitch.tv/jynxzi"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","HasanAbi","4740966060","149160","357084","31784","3055299","226188","Partner","false","English","https://www.twitch.tv/hasanabi"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/a4977cfd-1962-41ec-9355-ab2611b97552-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","kato_junichi0817","4718059275","163755","141624","28811","1164349","99010","Partner","false","Japanese","https://www.twitch.tv/kato_junichi0817"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","4172797215","32145","9189762","129811","19848491","2558699","Partner","false","Spanish","https://www.twitch.tv/ibai"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","eliasn97","3902327580","121680","147857","32070","2317715","211956","Partner","false","German","https://www.twitch.tv/eliasn97"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/058ee082-68f4-417b-8f8b-8c3ad42468ac-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheBurntPeanut","3791260125","153615","255815","24680","2206602","2047155","Partner","false","English","https://www.twitch.tv/theburntpeanut"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/ef28ba12-c8ed-46d4-838b-a4c95ef5b469-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","caseoh_","3581058825","71460","298512","50112","8395001","1445472","Partner","false","English","https://www.twitch.tv/caseoh_"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/d8a3e3e9-f70a-4634-bd59-b4a1cab834de-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","fps_shaka","3341312385","195180","75539","17119","1649070","93255","Partner","false","Japanese","https://www.twitch.tv/fps_shaka"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","3005705115","141135","335809","21296","12360906","316533","Partner","false","English","https://www.twitch.tv/xqc"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/48487d3b-e713-4a49-ad35-dec6ab7d690e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Lacy","2751681120","159705","143964","17229","2432261","1160758","Partner","false","English","https://www.twitch.tv/lacy"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/04abc1b4-7bad-4b55-8da8-c0f1cf031bda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Papaplatte","2738449635","107880","118231","25384","3110533","281778","Partner","false","German","https://www.twitch.tv/papaplatte"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/020d2ed3-c2f2-4d33-805f-92cf966a9c43-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","stableronaldo","2702019180","130665","149922","20678","4538979","766251","Partner","false","English","https://www.twitch.tv/stableronaldo"
"16","https://static-cdn.jtvnw.net/jtv_user_pictures/a04be2b0-9cc1-403c-a4b0-47b32d1fe640-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","jasontheween","2636133945","129255","118191","20394","2153559","985038","Partner","false","English","https://www.twitch.tv/jasontheween"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/5742b015-e6ed-4f7c-a1dd-87cd88fe1eb9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ohnePixel","2518981905","67155","298362","37509","2548852","819010","Partner","false","English","https://www.twitch.tv/ohnepixel"
"18","https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","2414081940","262020","29935","9213","6391192","71991","Partner","false","English","https://www.twitch.tv/summit1g"
