"","Logo","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/8a9c0603-7ff0-4189-bdc1-3072029a613d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","StRoGo","741294450","11820","305130","62715","2173526","Partner","false","Russian","https://www.twitch.tv/strogo"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/c1ecbcd5-b8b6-4e0c-9d5f-e01d610aa97d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ESLCS","693407970","43005","313835","16124","6807985","Partner","false","English","https://www.twitch.tv/eslcs"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/5742b015-e6ed-4f7c-a1dd-87cd88fe1eb9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ohnePixel","334749810","5280","189027","63400","2930487","Partner","false","English","https://www.twitch.tv/ohnepixel"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/dfa1b23e-0cb0-4e23-91ea-b268b4a03580-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","cs2_paragon_ru","315649110","10170","131061","31037","292740","Partner","false","Russian","https://www.twitch.tv/cs2_paragon_ru"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/840ff023-7836-4bff-8af2-e48db9fbf7cc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","bySL4M","215385135","10020","85462","21496","555570","Partner","false","Russian","https://www.twitch.tv/bysl4m"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/88ebc32c-7684-4cbd-a4fe-c26997ad8875-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","ESLCSb","146709795","5985","106162","24513","1442159","Partner","false","English","https://www.twitch.tv/eslcsb"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/96d66837-22f0-4393-89c5-2e5c2408485b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","buster","90726060","2865","73853","31667","5052212","Partner","false","Russian","https://www.twitch.tv/buster"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/09b1b79c-5c2d-47fa-9767-866948544c1c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","CroissantStrike","86107965","24525","34237","3511","237228","Partner","false","French","https://www.twitch.tv/croissantstrike"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/7c940bd3-7d46-421d-8e33-80c0a10bac0d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","inkmate0","79491195","9915","24179","8017","515577","Partner","false","Russian","https://www.twitch.tv/inkmate0"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/fl0m-profile_image-efa66f8f4aa42f40-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","fl0m","77818770","12975","24446","5998","975331","Partner","false","English","https://www.twitch.tv/fl0m"
