"","Logo","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/645d98a0-a2eb-48a3-b687-cfbc55243e4a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Jynxzi","95526195","2055","70387","46485","10668144","Partner","false","English","https://www.twitch.tv/jynxzi"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/4fcd833d-3df2-4f52-bc51-3c44640717aa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AussieAntics","81067080","12705","33056","6381","1598531","Partner","false","English","https://www.twitch.tv/aussieantics"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/f700cd74-e74c-42a4-ba5b-18efb486eb92-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Clix","56506890","7230","17843","7816","8582554","Partner","false","English","https://www.twitch.tv/clix"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/020d2ed3-c2f2-4d33-805f-92cf966a9c43-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","stableronaldo","56232690","2100","42494","26777","4715006","Partner","false","English","https://www.twitch.tv/stableronaldo"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/08630419-ec9f-4535-a771-05a93f4df94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","HappyHappyGal","53096505","9510","14946","5583","586666","Partner","false","English","https://www.twitch.tv/happyhappygal"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/0eabc805-e8e0-4e6e-bd2d-876bdd99f12a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","faxuty","40928265","4395","52810","9312","636935","Partner","false","English","https://www.twitch.tv/faxuty"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/48487d3b-e713-4a49-ad35-dec6ab7d690e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Lacy","40550010","2370","30672","17110","2602321","Partner","false","English","https://www.twitch.tv/lacy"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/6be7dd51-05b0-4e38-a8b8-44a29702bf1f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Nikof","37246590","4665","38579","7984","807273","Partner","false","French","https://www.twitch.tv/nikof"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/02ebf5e0-4560-4dc6-8771-d68dc1715143-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","gorilon","30045195","2820","50824","10654","458211","Partner","false","Spanish","https://www.twitch.tv/gorilon"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/a1f93c9d-7fb0-4af8-aba9-86f64f956d55-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Amar","24898950","5625","32211","4426","1868450","Partner","false","German","https://www.twitch.tv/amar"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/80542f40-4016-499d-9965-19197a5a0006-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Fortnite","20867460","1215","34500","17175","6366146","Partner","false","English","https://www.twitch.tv/fortnite"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/cf322994-4166-42b5-a3f7-8f3a44783489-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Peterbot","17975805","2175","13574","8265","1188712","Partner","false","English","https://www.twitch.tv/peterbot"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/2481f7d8-c49e-472a-8ee2-0f8543c2a142-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Loeya","17805525","10980","3421","1622","1663842","Partner","false","English","https://www.twitch.tv/loeya"
