"","Logo","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/aa2bc80a-e317-494a-a94d-7492889e4f66-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","JLTomy","101171340","6885","20352","14694","1400156","Partner","false","French","https://www.twitch.tv/jltomy"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/5b8bab3a-12c1-4d81-bde6-fdb5afcceab7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Aenot","43192920","13440","6380","3214","241059","Partner","false","French","https://www.twitch.tv/aenot"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/2a74b7da-4c2f-4a20-8a02-c7d77064c281-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PENTA","35207925","10410","4610","3382","364973","Partner","false","English","https://www.twitch.tv/penta"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/13e55cbe-a1b0-4f4c-b69b-2748274b9e48-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","aminematue","32381040","1470","28899","22028","3476255","Partner","false","French","https://www.twitch.tv/aminematue"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/bf087b55-92e4-4a8c-a722-ed0e66e6bf9d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Kaysan","32259915","5700","7338","5660","611981","Partner","false","English","https://www.twitch.tv/kaysan"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/11f7f9d2-0356-4b43-a01e-ad9cd181e94f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","OfficerMesser","21843300","5745","6353","3802","224385","Partner","false","English","https://www.twitch.tv/officermesser"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/3bfcebed-d50d-42c0-8846-084da38eff01-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","gocchanmikey","21710565","4365","10616","4974","224935","Partner","false","Japanese","https://www.twitch.tv/gocchanmikey"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/448afe18-e7d3-484e-a18f-d8f047942d83-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","kenki521","19691760","4320","6827","4558","347483","Partner","false","Japanese","https://www.twitch.tv/kenki521"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/db036cc7-c80d-4c49-aa50-52e7c22b12ff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","kitnan8","16893390","19830","4103","852","23748","Community","false","Thai","https://www.twitch.tv/kitnan8"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/76689ba7-8a3a-4369-bb9b-6ec7c54e4648-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Tumblurr","16733625","495","43551","33805","2014645","Partner","false","Italian","https://www.twitch.tv/tumblurr"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/54b51a66-95e9-4ee4-a5a1-cfb8d37f1571-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Mehdoche","16647360","10740","2813","1550","172528","Partner","false","French","https://www.twitch.tv/mehdoche"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/a9ef5493-c06f-44c2-bc9d-c492e01c0395-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","mitsuki_mitsuu","16182630","10920","2588","1482","38032","Partner","false","Japanese","https://www.twitch.tv/mitsuki_mitsuu"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/4cb6534d-b9af-49bb-a3a7-2e8da9ae380e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","onlyjson","15076980","9750","2415","1546","76550","Partner","false","German","https://www.twitch.tv/onlyjson"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/d9605a73-add5-445d-8687-0a465b4fedc8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","jaystayup","14315460","14280","1636","1002","84715","Partner","false","English","https://www.twitch.tv/jaystayup"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/6d9a9d8d-cb4a-4381-98b8-de165bcf09a4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Leenza522","14125170","9645","4286","1465","39171","Partner","false","Thai","https://www.twitch.tv/leenza522"
"16","https://static-cdn.jtvnw.net/jtv_user_pictures/2ff72e4e-a36b-4b6c-ac73-6065716081f7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MaborieAxe","13600170","12720","6017","1069","29617","Partner","false","Thai","https://www.twitch.tv/maborieaxe"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/66696875-aadb-4300-8aa4-12acda0453ec-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","kiruma_ch","13446855","3165","8308","4249","123863","Partner","false","Japanese","https://www.twitch.tv/kiruma_ch"
"18","https://static-cdn.jtvnw.net/jtv_user_pictures/82725c54-f53d-478d-b2a0-4cf58e4aacd5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","kyoyu_shiroya","13391520","5715","3930","2343","41661","Partner","false","Japanese","https://www.twitch.tv/kyoyu_shiroya"
"19","https://static-cdn.jtvnw.net/jtv_user_pictures/2473d146-e994-4ec0-b77d-bde756d387df-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Nisqyy","12760830","11520","3473","1108","373309","Partner","false","French","https://www.twitch.tv/nisqyy"
"20","https://static-cdn.jtvnw.net/jtv_user_pictures/87511e61-fad4-4f52-859f-1fe0beaa19fa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","llwud1","12585660","17220","2721","731","19516","Partner","false","Thai","https://www.twitch.tv/llwud1"
"21","https://static-cdn.jtvnw.net/jtv_user_pictures/sura-profile_image-e2dc75fdf14792c5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","Sura","11838555","12900","3902","918","159715","Partner","false","French","https://www.twitch.tv/sura"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/e4ea5b38-cb50-4bec-b4ea-77c79b391c47-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Edwin_live","11627685","3300","8214","3524","514291","Partner","false","Thai","https://www.twitch.tv/edwin_live"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/shlorox-profile_image-4be72b9009ae00a8-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Shlorox","11571315","2700","5125","4286","436551","Partner","false","German","https://www.twitch.tv/shlorox"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/b4bcf538-2138-4dd7-a645-c5484a8b7994-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PIRA_real","11318475","5715","3362","1980","41463","Partner","false","Japanese","https://www.twitch.tv/pira_real"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/4b7f0d8d-8c9f-4f01-8fbf-ead07ea72584-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TwincyTV","11258640","6150","5289","1831","140449","Partner","false","French","https://www.twitch.tv/twincytv"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/10087f3d-848d-48f7-b32e-f15c43920979-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Heideltraut","11098320","9315","2195","1191","188776","Partner","false","German","https://www.twitch.tv/heideltraut"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/231f7c2e-4d9f-4efd-826d-6484c6f30df3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Nikos","10858050","10185","2328","1066","134869","Partner","false","French","https://www.twitch.tv/nikos"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/bf607a73-c0e5-40e3-a083-13aae5bd330c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Sansuay_ch","10810965","9210","2119","1174","132593","Partner","false","Thai","https://www.twitch.tv/sansuay_ch"
"29","https://static-cdn.jtvnw.net/jtv_user_pictures/4ce65822-a3b1-47dd-a1b2-a91a7c2fe57a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ajikichi","10387410","10395","2641","999","34067","Partner","false","Japanese","https://www.twitch.tv/ajikichi"
"30","https://static-cdn.jtvnw.net/jtv_user_pictures/a5ff7c1b-db8e-44c3-befe-7970ab36847a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","dek_eiei","10377030","12285","3916","845","33047","Community","false","English","https://www.twitch.tv/dek_eiei"
"31","https://static-cdn.jtvnw.net/jtv_user_pictures/0eeb44a9-3461-4356-84ac-da9ca20d8273-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Nooor","10255995","10845","1608","946","44529","Partner","false","Swedish","https://www.twitch.tv/nooor"
"32","https://static-cdn.jtvnw.net/jtv_user_pictures/136fef26-39cd-485d-93d8-97c616c81131-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tototmix","10233585","1380","10214","7416","191411","Partner","false","Japanese","https://www.twitch.tv/tototmix"
"33","https://static-cdn.jtvnw.net/jtv_user_pictures/36a09f4a-c42f-4176-942c-481e390b7f06-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Khadim","10105575","15240","1548","663","136523","Partner","false","French","https://www.twitch.tv/khadim"
"34","https://static-cdn.jtvnw.net/jtv_user_pictures/a312f5ca-8998-4721-8e0c-04db00e798b8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","hpduketv","9948225","12675","1210","785","192366","Partner","false","English","https://www.twitch.tv/hpduketv"
"35","https://static-cdn.jtvnw.net/jtv_user_pictures/70d90ec14808c95f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Locklear","9838185","1695","7797","5804","2405711","Partner","false","French","https://www.twitch.tv/locklear"
"36","https://static-cdn.jtvnw.net/jtv_user_pictures/da32b95d-671a-4f61-9263-8c45575f658e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PKM_3","9816510","13680","1927","718","23614","Partner","false","French","https://www.twitch.tv/pkm_3"
"37","https://static-cdn.jtvnw.net/jtv_user_pictures/faeaca1b-84b5-4d35-9454-b8ed29229d75-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","titiseadmin","9588750","7815","3106","1227","71867","Partner","false","Japanese","https://www.twitch.tv/titiseadmin"
"38","https://static-cdn.jtvnw.net/jtv_user_pictures/9ba6246a-283f-49ef-a2df-a52763f1ef6d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","vanotica_","9386355","13635","2218","688","162626","Partner","false","Thai","https://www.twitch.tv/vanotica_"
"39","https://static-cdn.jtvnw.net/jtv_user_pictures/a6dc2380-4891-451d-ae1c-54754230f713-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","HuaHed","9188220","5235","2542","1755","210677","Partner","false","Thai","https://www.twitch.tv/huahed"
"40","https://static-cdn.jtvnw.net/jtv_user_pictures/e9e21dca-fed1-4063-90b0-a3d2651ccaac-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","crtopioxd","9054960","2640","7193","3430","63134","Partner","false","Japanese","https://www.twitch.tv/crtopioxd"
"41","https://static-cdn.jtvnw.net/jtv_user_pictures/a17bf967-d996-422e-a58a-8eca7b7dc0b2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","minioni3202","8973105","8685","2771","1033","36507","Partner","false","Japanese","https://www.twitch.tv/minioni3202"
"42","https://static-cdn.jtvnw.net/jtv_user_pictures/ed2fdaee-b059-4bc6-bfef-ee1e9779e4ae-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","kyle","8860755","6585","2077","1346","538273","Partner","false","English","https://www.twitch.tv/kyle"
"43","https://static-cdn.jtvnw.net/jtv_user_pictures/27d7869c-8eed-4059-a4f1-9679e68c7363-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","JenNyan","8779095","6360","2301","1380","268427","Partner","false","German","https://www.twitch.tv/jennyan"
"44","https://static-cdn.jtvnw.net/jtv_user_pictures/a86ddd65-c91c-4f59-9bae-41b7e64d056b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","wakiwaki612","8516415","8955","4049","951","116413","Partner","false","Japanese","https://www.twitch.tv/wakiwaki612"
"45","https://static-cdn.jtvnw.net/jtv_user_pictures/e3d41733-c642-4226-a5d1-2d2dfa75a72f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Middleeetv","8459385","6180","4899","1369","132594","Partner","false","Japanese","https://www.twitch.tv/middleeetv"
"46","https://static-cdn.jtvnw.net/jtv_user_pictures/5466b371-98b5-4b10-9073-c7910c82503b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","xo_trixy","8354985","3015","9679","2771","321360","Partner","false","French","https://www.twitch.tv/xo_trixy"
"47","https://static-cdn.jtvnw.net/jtv_user_pictures/foxrabbit-profile_image-ed9243ba724b01a2-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","FOXRABBIT","8339310","9585","1794","870","60756","Partner","false","Japanese","https://www.twitch.tv/foxrabbit"
"48","https://static-cdn.jtvnw.net/jtv_user_pictures/bda6e937-6bf6-4a3f-8d40-2817886f131d-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","CyrusTWO","8061420","4410","2663","1828","134147","Partner","false","Swedish","https://www.twitch.tv/cyrustwo"
"49","https://static-cdn.jtvnw.net/jtv_user_pictures/901b4b8a-9526-4397-a9ad-12e5d28a3d0f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Jaxxming","8043405","16725","3365","481","14048","Community","false","Thai","https://www.twitch.tv/jaxxming"
"50","https://static-cdn.jtvnw.net/jtv_user_pictures/c1efdfa7-67e8-4080-9718-96897fbb1a89-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","kolu_pen","8028495","5025","2482","1598","81595","Partner","false","Japanese","https://www.twitch.tv/kolu_pen"
