"","Logo","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Caedrel","381545190","10050","166621","37965","1582613","Partner","false","English","https://www.twitch.tv/caedrel"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/9e619d88755f56a8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NoWay4u_Sir","122483895","12060","20497","10156","780966","Partner","false","German","https://www.twitch.tv/noway4u_sir"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/a58575dc-6414-45f7-a2da-a1ea2bed2e1f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","otplol_","86940630","42795","42485","2032","797465","Partner","false","French","https://www.twitch.tv/otplol_"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/dbca03f2-578c-454f-8fa8-a76b089164e4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Kamet0","85919040","2850","119825","30147","2118971","Partner","false","French","https://www.twitch.tv/kamet0"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/794e906d-64d7-41ab-bb89-8fb159e4124b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","k4sen","80421540","5235","55185","15362","1018508","Partner","false","Japanese","https://www.twitch.tv/k4sen"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/04c65db8-ef62-4fb5-8cff-09f0521de151-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Thebausffs","63593100","6600","16526","9635","1614214","Partner","false","English","https://www.twitch.tv/thebausffs"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/6585339d-60db-4217-8fb2-ccdd7715a3f6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Splinter","63003135","12585","9846","5006","139005","Partner","false","French","https://www.twitch.tv/splinter"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/d8a3e3e9-f70a-4634-bd59-b4a1cab834de-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","fps_shaka","58637850","4740","25804","12371","1665368","Partner","false","Japanese","https://www.twitch.tv/fps_shaka"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/645d98a0-a2eb-48a3-b687-cfbc55243e4a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Jynxzi","56596620","1395","62762","40571","10668144","Partner","false","English","https://www.twitch.tv/jynxzi"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/78ade84d-edbc-47fa-a740-de76f6528379-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Drututt","52297800","9930","8574","5267","668948","Partner","false","English","https://www.twitch.tv/drututt"
