"","Logo","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/69ba6f42-a9f2-44a6-a088-95faf9d0ddd3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","GOFNS","148566510","4425","79094","33574","555648","Partner","false","English","https://www.twitch.tv/gofns"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/34c5c8da-19b6-47b2-85ba-cc7ae87f1413-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","VALORANT","101987175","4710","66409","21653","4866540","Partner","false","English","https://www.twitch.tv/valorant"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/85baa6dc-c2d9-4135-b6d0-dfb429d1230d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Lazvell","52243215","6150","20336","8495","554767","Partner","false","Japanese","https://www.twitch.tv/lazvell"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/6d3b4513-6824-4912-848c-dc046ee262ad-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Mixwell","51454380","6930","29080","7425","1276211","Partner","false","Spanish","https://www.twitch.tv/mixwell"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tarik","43732980","4440","22240","9850","3313124","Partner","false","English","https://www.twitch.tv/tarik"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/90181b76-5b10-42f6-a868-36e0b80b50b0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Meiy_vl","32789640","3270","71791","10027","324451","Partner","false","Japanese","https://www.twitch.tv/meiy_vl"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/0ef86320-ce47-4c9c-931e-38da58c5dbcd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Bijusan","31652295","5460","14451","5797","144204","Partner","false","Japanese","https://www.twitch.tv/bijusan"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/5df0c5d3-9589-430f-82b7-72f51a25df4f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","sacy","31605465","7035","14842","4493","865728","Partner","false","Portuguese","https://www.twitch.tv/sacy"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/6beffc77-af10-4173-85d3-ed543f3b61f9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","VALORANT_jpn","26283615","8715","9485","3016","620190","Partner","false","Japanese","https://www.twitch.tv/valorant_jpn"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/4e24a619-4154-4d58-b8af-fc4dad46d521-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TcK10","25428855","5655","18147","4497","825859","Partner","false","Portuguese","https://www.twitch.tv/tck10"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/a1a3869d-842d-44eb-8cf0-5003e1de77ce-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","krapycoco","23598195","7005","12824","3369","135446","Partner","false","Chinese","https://www.twitch.tv/krapycoco"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/047f3327-ef6d-4e0d-bd65-38a0586b195c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Kaydop","21777135","8775","4331","2482","923127","Partner","false","French","https://www.twitch.tv/kaydop"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/c875f23e-dd8d-4ae2-b8c1-bb3da46852b0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Subroza","20633910","8775","7014","2351","1128891","Partner","false","English","https://www.twitch.tv/subroza"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/d27051d8-7fba-443f-83dd-faf75e9f7af4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SuperBusS_","19628760","13260","9420","1480","293641","Partner","false","Thai","https://www.twitch.tv/superbuss_"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/04dbc9bb-27bf-4975-b9ab-361268e8f5b5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Sliggytv","19235475","4665","6894","4123","208402","Partner","false","English","https://www.twitch.tv/sliggytv"
"16","https://static-cdn.jtvnw.net/jtv_user_pictures/dfb5c790-5ea6-4543-bc2b-0f5f79b1f959-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TenZ","16819305","2625","11376","6407","4586776","Partner","false","English","https://www.twitch.tv/tenz"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/a54fbe1c-2719-4f79-bcd6-ef9b2fdb2257-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","mooda","16081335","5535","12015","2905","776753","Partner","false","English","https://www.twitch.tv/mooda"
"18","https://static-cdn.jtvnw.net/jtv_user_pictures/cc594a1b-4ace-4cbd-9846-f871f329bd39-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SirMaza","13922880","9150","3206","1522","480223","Partner","false","Spanish","https://www.twitch.tv/sirmaza"
"19","https://static-cdn.jtvnw.net/jtv_user_pictures/d19bd428-ec06-4968-9c50-7b58a63d5cc1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","eggsterr","13554315","14775","2332","917","315814","Partner","false","English","https://www.twitch.tv/eggsterr"
"20","https://static-cdn.jtvnw.net/jtv_user_pictures/cdf261d3-d0b7-4a01-9191-000fb2d68f87-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","VALORANT_fr","13331895","6000","5801","2222","290318","Partner","false","French","https://www.twitch.tv/valorant_fr"
"21","https://static-cdn.jtvnw.net/jtv_user_pictures/5079f01e-d860-4311-a223-fd5acf01fca0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","joshseki","12833130","8595","2601","1493","577176","Partner","false","English","https://www.twitch.tv/joshseki"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/c2b85c38-cfdc-4c87-9c5b-80a6dcd2c4f5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shanks_ttv","12182745","3930","5895","3100","646892","Partner","false","English","https://www.twitch.tv/shanks_ttv"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/42c4c20d-3b4b-4120-8756-ba109b7663c9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","XAROLA_","11917980","8145","8308","1463","445000","Partner","false","Portuguese","https://www.twitch.tv/xarola_"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/19c619ea-78fd-4acd-856e-fc653a9c8687-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LFToxy_val","10725165","6135","2679","1748","274719","Partner","false","English","https://www.twitch.tv/lftoxy_val"
