"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","27381782160","2713892520","1033424","43972","3829348","52102","5164","10.09",""
"2","","Just Chatting","178025271060","2233965600","1589565","8739","2150711","338747","4250","79.69",""
"3","","VALORANT","36003682260","1523969220","748396","7419","1115025","68507","2899","23.62",""
"4","","Grand Theft Auto V","52339946280","1342415160","425667","5264","1206822","99592","2554","38.99",""
"5","","Call of Duty: Warzone","15156898860","1206845640","355202","11227","1229341","28840","2296","12.56",""
"6","","Minecraft","23992224420","1150854660","994469","4665","1939575","45652","2189","20.85",""
"7","","Call of Duty","1733312580","1057012320","65875","7930","1277176","3298","2011","1.64",""
"8","","Marvel Rivals","18424257060","985685280","503740","12141","959102","35057","1875","18.69",""
"9","","League of Legends","61320301920","974172840","1699032","4301","575671","116680","1853","62.95",""
"10","","Apex Legends","10991303520","886684200","318774","5083","643542","20914","1687","12.4",""
"11","","Dead by Daylight","12081668580","838366920","143650","5042","551232","22989","1595","14.41",""
"12","","Counter-Strike","46216349580","790834680","1299442","3847","758691","87940","1504","58.44",""
"13","","ROBLOX","3713050980","771989520","139196","7743","2275700","7065","1468","4.81",""
"14","","Rainbow Six Siege","8368424820","605639040","596891","5025","996557","15923","1152","13.82",""
"15","","World of Warcraft","21890930820","496554240","472728","3937","180701","41654","944","44.09",""
"16","","Dota 2","29326373220","491347140","1236185","2263","266828","55802","934","59.69",""
"17","","Overwatch","10393096200","480285480","289570","3005","432364","19776","913","21.64",""
"18","","Rocket League","5532703920","349626420","311143","1537","853129","10527","665","15.82",""
"19","","ARC Raiders","9890045280","347118300","374703","7205","383111","18818","660","28.49",""
"20","","NBA 2K25","1570145880","345975360","99150","2620","490775","2987","658","4.54",""
"21","","Call of Duty: Black Ops 6","3446931000","335091000","126323","3244","348313","6558","637","10.29",""
"22","","Art","4929198180","304101360","33465","1166","175538","9379","578","16.21",""
"23","","Games + Demos","2849932560","302866620","98271","2794","780294","5422","576","9.41",""
"24","","PUBG: BATTLEGROUNDS","5882761260","296759760","145234","1302","241210","11193","564","19.82",""
"25","","EA Sports FC 25","7737073320","294982560","399293","3723","590628","14722","561","26.23",""
"26","","Escape from Tarkov","16521264840","287599080","383524","3590","109330","31436","547","57.45",""
"27","","Monster Hunter Wilds","4109367300","280467600","421224","19325","267658","7819","533","14.65",""
"28","","NBA 2K26","1552804740","278565360","85906","14592","354730","2954","530","5.57",""
"29","","R.E.P.O.","3824564640","274679220","162990","5915","552640","7277","522","13.92",""
"30","","Music","4711254180","274662420","358116","982","185655","8964","522","17.15",""
"31","","Battlefield 6","4732915620","253983000","873608","17888","520356","9005","483","18.63",""
"32","","ELDEN RING","4084420440","215691060","107986","1144","300098","7771","410","18.94",""
"33","","Phasmophobia","2135045460","215619660","90867","2127","429825","4062","410","9.9",""
"34","","IRL","19904539260","199451460","465860","821","304016","37874","379","99.8",""
"35","","Destiny 2","3119356740","197381820","179380","6351","154117","5935","375","15.8",""
"36","","Genshin Impact","2803572480","190505520","124357","2646","184161","5334","362","14.72",""
"37","","Red Dead Redemption II","2455967700","182611680","147839","872","265541","4673","347","13.45",""
"38","","FINAL FANTASY XIV ONLINE","2694294840","176920980","91093","2513","70665","5126","336","15.23",""
"39","","Clair Obscur: Expedition 33","3271614780","173709000","263033","3122","195603","6225","330","18.83",""
"40","","Rust","9179953320","170651580","275076","1309","159159","17467","324","53.79",""
"41","","ELDEN RING NIGHTREIGN","2977856760","156946980","346300","7995","197683","5666","298","18.97",""
"42","","Path of Exile 2","6490030020","148195800","448904","4365","90437","12349","281","43.79",""
"43","","EA Sports FC 26","4836973860","148167060","447996","4667","269489","9203","281","32.65",""
"44","","DayZ","2712689040","144151020","220245","636","145197","5161","274","18.82",""
"45","","Animals, Aquariums, and Zoos","2460731220","142284240","41092","456","4921","4682","270","17.29",""
"46","","Always On","4155420720","137548920","46190","668","4676","7906","261","30.21",""
"47","","Tibia","3041605500","134246400","37538","634","21699","5787","255","22.66",""
"48","","Hollow Knight: Silksong","1879804860","130604700","362702","12885","159820","3576","248","14.39",""
"49","","Delta Force","2803255800","130233060","114283","1144","156773","5334","247","21.52",""
"50","","PEAK","3000857520","129227220","174597","2583","349062","5710","245","23.22",""
