"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","119753461740","1707539220","1117874","12126","1638364","227244","3240","70.13",""
"2","","League of Legends","93212191920","2296398960","2020835","8877","1169268","176879","4357","40.59",""
"3","","Fortnite","64013571240","4965171420","2331987","129860","3337011","121472","9421","12.89",""
"4","","Grand Theft Auto V","49453644120","1013682300","389147","6530","925013","93843","1923","48.79",""
"5","","VALORANT","48882166380","1693870500","1728977","16287","1194680","92759","3214","28.86",""
"6","","Call of Duty: Warzone","48682842480","3343831380","951957","31506","2097696","92380","6345","14.56",""
"7","","Counter-Strike","42824974860","971021340","828949","5542","926843","81264","1842","44.1",""
"8","","Minecraft","30645919800","1219884840","591932","7060","1503780","58153","2314","25.12",""
"9","","Dota 2","29829080100","415084200","364279","1758","162924","56603","787","71.86",""
"10","","World of Warcraft","27233166540","934191960","933430","25791","326049","51677","1772","29.15",""
"11","","Among Us","25179134640","440361660","776257","12317","884829","47780","835","57.18",""
"12","","Escape from Tarkov","23946123060","584089740","418894","4195","205207","45440","1108","41",""
"13","","Apex Legends","19203037200","1462073640","283368","9790","995730","36439","2774","13.13",""
"14","","Hearthstone","16949634600","133428840","159643","1313","96350","32163","253","127.03",""
"15","","Music","12313308120","436697040","293752","2892","203825","23365","828","28.2",""
"16","","Dead by Daylight","11999107680","605573220","128138","3242","389519","22769","1149","19.81",""
"17","","FIFA 20","10800528720","280455240","365896","4961","345959","20495","532","38.51",""
"18","","Fall Guys","10639038660","255406740","713229","7272","601197","20188","484","41.66",""
"19","","Overwatch","10250580540","593892300","194372","2489","469078","19451","1126","17.26",""
"20","","Teamfight Tactics","9951527580","197922060","122784","1567","208347","18884","375","50.28",""
"21","","PUBG: BATTLEGROUNDS","9394504200","462218640","120025","1852","296118","17827","877","20.32",""
"22","","FIFA 21","9367150260","177572040","474733","4322","217722","17775","336","52.75",""
"23","","Slots","9147196500","57630000","114814","230","23245","17357","109","158.72",""
"24","","Rainbow Six Siege","8840256900","821721000","234650","3779","842296","16775","1559","10.76",""
"25","","Rocket League","8398644600","478724880","243644","3520","890258","15937","908","17.54",""
"26","","Path of Exile","6576335280","146907720","141391","3911","68091","12479","278","44.77",""
"27","","Destiny 2","6076798740","496661340","402791","20975","291662","11531","942","12.24",""
"28","","Art","5209973760","329222100","109763","1130","231277","9886","624","15.83",""
"29","","Special Events","5093177160","26420700","3123208","6896","56328","9664","50","192.77",""
"30","","Call of Duty: Black Ops Cold War","4975029660","294629160","705050","23867","338777","9440","559","16.89",""
"31","","Animal Crossing: New Horizons","4974352320","126166560","244171","4403","95325","9439","239","39.43",""
"32","","Phasmophobia","4539153660","224626320","256449","8907","361893","8613","426","20.21",""
"33","","Free Fire","4490022300","97685460","301456","613","89033","8520","185","45.96",""
"34","","Chess","4432355460","31153500","155183","208","40382","8410","59","142.27",""
"35","","Poker","4430176680","56925000","124617","417","28953","8406","108","77.82",""
"36","","Old School RuneScape","4216055640","96508740","93917","629","43211","8000","183","43.69",""
"37","","Rust","3957699540","132737580","330443","877","114393","7510","251","29.82",""
"38","","Genshin Impact","3957681540","224059200","212270","5816","265750","7510","425","17.66",""
"39","","Cyberpunk 2077","3923095500","156453420","1126038","35125","233002","7444","296","25.08",""
"40","","Talk Shows & Podcasts","3876885960","76502640","413745","727","72763","7356","145","50.68",""
"41","","Magic: The Gathering","3750608640","63650460","126517","492","41934","7117","120","58.93",""
"42","","Sea of Thieves","3702729120","205320360","78018","1447","219577","7026","389","18.03",""
"43","","StarCraft II","3381880800","50251680","90208","238","31477","6417","95","67.3",""
"44","","ASMR","3303864300","48859440","25076","168","16451","6269","92","67.62",""
"45","","NBA 2K20","3210097140","273185280","91296","2188","269510","6091","518","11.75",""
"46","","World of Tanks","2990510700","110554380","131606","655","54554","5674","209","27.05",""
"47","","Black Desert","2768455860","113675580","68099","554","52111","5253","215","24.35",""
"48","","SMITE","2716693440","129563280","32960","681","96952","5155","245","20.97",""
"49","","Pokémon Sword/Shield","2695611840","101490120","115043","2345","62817","5115","192","26.56",""
"50","","Tibia","2465503980","89080440","17516","400","21765","4678","169","27.68",""
