"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","178025271060","2233965600","1589565","8739","2150711","338747","4250","79.69",""
"2","","League of Legends","61320301920","974172840","1699032","4301","575671","116680","1853","62.95",""
"3","","Grand Theft Auto V","52339946280","1342415160","425667","5264","1206822","99592","2554","38.99",""
"4","","Counter-Strike","46216349580","790834680","1299442","3847","758691","87940","1504","58.44",""
"5","","VALORANT","36003682260","1523969220","748396","7419","1115025","68507","2899","23.62",""
"6","","Dota 2","29326373220","491347140","1236185","2263","266828","55802","934","59.69",""
"7","","Fortnite","27381782160","2713892520","1033424","43972","3829348","52102","5164","10.09",""
"8","","Minecraft","23992224420","1150854660","994469","4665","1939575","45652","2189","20.85",""
"9","","World of Warcraft","21890930820","496554240","472728","3937","180701","41654","944","44.09",""
"10","","IRL","19904539260","199451460","465860","821","304016","37874","379","99.8",""
"11","","Marvel Rivals","18424257060","985685280","503740","12141","959102","35057","1875","18.69",""
"12","","Escape from Tarkov","16521264840","287599080","383524","3590","109330","31436","547","57.45",""
"13","","Call of Duty: Warzone","15156898860","1206845640","355202","11227","1229341","28840","2296","12.56",""
"14","","Dead by Daylight","12081668580","838366920","143650","5042","551232","22989","1595","14.41",""
"15","","Apex Legends","10991303520","886684200","318774","5083","643542","20914","1687","12.4",""
"16","","Special Events","10734178260","55334100","1522436","4248","69142","20425","105","193.99",""
"17","","Overwatch","10393096200","480285480","289570","3005","432364","19776","913","21.64",""
"18","","Teamfight Tactics","10022077620","126356640","143580","1061","119068","19070","240","79.32",""
"19","","ARC Raiders","9890045280","347118300","374703","7205","383111","18818","660","28.49",""
"20","","Rust","9179953320","170651580","275076","1309","159159","17467","324","53.79",""
"21","","Rainbow Six Siege","8368424820","605639040","596891","5025","996557","15923","1152","13.82",""
"22","","EA Sports FC 25","7737073320","294982560","399293","3723","590628","14722","561","26.23",""
"23","","Hearthstone","6841429320","58691400","97244","381","43761","13017","111","116.57",""
"24","","World of Tanks","6696021900","82160460","135588","546","50726","12741","156","81.5",""
"25","","Virtual Casino","6571969380","17458740","125516","167","12510","12505","33","376.43",""
"26","","Path of Exile 2","6490030020","148195800","448904","4365","90437","12349","281","43.79",""
"27","","Street Fighter 6","6252971520","97217880","180515","813","68038","11898","184","64.32",""
"28","","PUBG: BATTLEGROUNDS","5882761260","296759760","145234","1302","241210","11193","564","19.82",""
"29","","ASMR","5748594300","75908760","54035","330","18282","10938","144","75.73",""
"30","","Sports","5569365780","73515960","188715","715","68636","10597","139","75.76",""
"31","","Rocket League","5532703920","349626420","311143","1537","853129","10527","665","15.82",""
"32","","Slots","5146711800","41118300","92969","279","23749","9793","78","125.17",""
"33","","Art","4929198180","304101360","33465","1166","175538","9379","578","16.21",""
"34","","EA Sports FC 26","4836973860","148167060","447996","4667","269489","9203","281","32.65",""
"35","","Kings League","4778761020","2749320","695935","178","3408","9093","5","1738.16",""
"36","","Battlefield 6","4732915620","253983000","873608","17888","520356","9005","483","18.63",""
"37","","Music","4711254180","274662420","358116","982","185655","8964","522","17.15",""
"38","","DJs","4629474420","115579740","73087","845","27493","8808","219","40.05",""
"39","","Old School RuneScape","4474646700","84318420","113510","545","36831","8514","160","53.07",""
"40","","I'm Only Sleeping","4280422080","99501720","137054","699","39739","8144","189","43.02",""
"41","","Always On","4155420720","137548920","46190","668","4676","7906","261","30.21",""
"42","","Monster Hunter Wilds","4109367300","280467600","421224","19325","267658","7819","533","14.65",""
"43","","ELDEN RING","4084420440","215691060","107986","1144","300098","7771","410","18.94",""
"44","","Clash Royale","3916853760","34691940","194910","222","233531","7453","66","112.9",""
"45","","Path of Exile","3880788660","64702620","334854","2664","31841","7384","123","59.98",""
"46","","R.E.P.O.","3824564640","274679220","162990","5915","552640","7277","522","13.92",""
"47","","ROBLOX","3713050980","771989520","139196","7743","2275700","7065","1468","4.81",""
"48","","Call of Duty: Black Ops 6","3446931000","335091000","126323","3244","348313","6558","637","10.29",""
"49","","Retro","3328055820","126334200","56459","545","44620","6332","240","26.34",""
"50","","Clair Obscur: Expedition 33","3271614780","173709000","263033","3122","195603","6225","330","18.83",""
