"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","61343915700","909828060","1084257","3235","587084","116725","1731","67.42",""
"2","","PUBG: BATTLEGROUNDS","32389814100","861987000","450958","4821","531818","61631","1640","37.58",""
"3","","Overwatch","14383602840","619563420","329834","3561","665386","27369","1178","23.22",""
"4","","Counter-Strike","25188135540","451309800","1233293","2177","529109","47928","858","55.81",""
"5","","Destiny","2673190440","381312420","107657","4818","223892","5086","725","7.01",""
"6","","World of Warcraft","8083275540","350996220","114050","3142","182309","15380","667","23.03",""
"7","","Rainbow Six Siege","3480558900","277893300","82332","1409","391450","6622","528","12.52",""
"8","","Fortnite","4892738700","237793320","147556","3848","303945","9309","452","20.58",""
"9","","Dota 2","26992770180","231840960","845577","1228","148660","51361","441","116.43",""
"10","","Destiny 2","2892412560","229582680","465627","14140","252832","5503","436","12.6",""
"11","","Grand Theft Auto V","7333931160","225185700","146629","1320","398048","13955","428","32.57",""
"12","","Z1: Battle Royale","5385147720","209576940","145097","1184","162230","10246","398","25.7",""
"13","","Minecraft","4166290320","196273140","104992","1134","316273","7927","373","21.23",""
"14","","Creative","2859031380","159862320","51358","561","131349","5440","304","17.88",""
"15","","Call of Duty: Black Ops III","732842460","159233940","44101","2517","340206","1394","302","4.6",""
"16","","IRL","10950122100","145144800","213906","1123","194124","20835","276","75.44",""
"17","","Hearthstone","26565153240","135675180","277440","1538","147275","50548","258","195.8",""
"18","","Rocket League","2329267860","108486060","207485","639","213145","4432","206","21.47",""
"19","","Dead by Daylight","2260802220","103981680","42683","819","78544","4301","197","21.74",""
"20","","Heroes of the Storm","4176629760","100783020","126179","718","96839","7947","191","41.44",""
"21","","Battlefield 1","614719200","92893140","29758","717","215829","1169","176","6.62",""
"22","","ARK: Survival Evolved","1251429540","92307600","57668","694","100248","2381","175","13.56",""
"23","","NBA 2K17","987661680","89178000","23852","1295","139820","1879","169","11.08",""
"24","","World of Tanks","2758073280","84179880","109108","430","60546","5248","160","32.76",""
"25","","SMITE","2319570660","80448660","103551","405","81735","4413","153","28.83",""
"26","","Call of Duty: Infinite Warfare","906018780","77284200","116685","776","148205","1723","147","11.72",""
"27","","Path of Exile","2917133760","75832860","85576","1522","48338","5550","144","38.47",""
"28","","FIFA 17","3021016800","73907940","144454","717","133653","5748","140","40.88",""
"29","","Warframe","1397243940","72502980","88701","718","95186","2658","137","19.27",""
"30","","Black Desert","1858136100","70039920","45596","343","44811","3535","133","26.53",""
"31","","Tom Clancy's The Division","623217180","67904880","37112","595","79460","1185","129","9.18",""
"32","","Diablo III","1031950620","67624440","43336","1424","87622","1963","128","15.26",""
"33","","RuneScape","3743255880","66331980","94782","244","50861","7122","126","56.43",""
"34","","DARK SOULS III","1240028640","65721180","271174","1109","111085","2359","125","18.87",""
"35","","Madden NFL 17","290481960","55640100","30808","742","68427","552","105","5.22",""
"36","","Arma 3","1376747580","55391940","45593","422","45589","2619","105","24.85",""
"37","","Call of Duty: WWII","1783628760","54407700","170705","2811","151038","3393","103","32.78",""
"38","","For Honor","1715939700","54317760","146765","2064","109343","3265","103","31.59",""
"39","","osu!","400830240","53728620","18701","237","71955","762","102","7.46",""
"40","","Paladins","675453360","51275220","45152","331","111397","1285","97","13.17",""
"41","","Rust","1299035520","49211100","56947","299","54048","2471","93","26.4",""
"42","","Friday the 13th: The Game","1166252520","47606100","125328","1499","100272","2219","90","24.5",""
"43","","FINAL FANTASY XIV ONLINE","617282640","47321040","36847","1396","31291","1174","90","13.04",""
"44","","The Elder Scrolls V: Skyrim","457314720","46710840","29039","207","83761","870","88","9.79",""
"45","","Fallout 4","380311440","46317300","15224","205","84832","723","88","8.21",""
"46","","RESIDENT EVIL 7 biohazard","1119852420","45903480","224481","3497","122704","2130","87","24.4",""
"47","","Paragon","470273880","45173040","38339","351","40770","894","85","10.41",""
"48","","FIFA 18","2491437000","44170860","89011","1550","77816","4740","84","56.4",""
"49","","7 Days to Die","498310920","43608300","39478","266","51082","948","82","11.43",""
"50","","Call of Duty: Modern Warfare Remastered","456446460","40884360","19383","444","107062","868","77","11.16",""
